Rank,Movie Title,Opening,"% of
Total",Total Gross
2069,Show Me Your Love,"$14,667",100.0%,"$14,667"
2070,Liao Junbo,"$14,628",25.5%,"$57,355"
2071,Olympic Is In My Family,"$14,607",100.0%,"$14,607"
2072,Shanghai Trance (City of Trance),"$14,600",100.0%,"$14,600"
2073,No Choice,"$14,594",64.7%,"$22,542"
2074,The Couple Travel Together,"$14,454",100.0%,"$14,454"
2075,Adventure Journey,"$14,358",63.3%,"$22,698"
2076,I Feel Pretty,"$14,345",7.0%,"$205,958"
2077,Bike and Old Electric Piano,"$14,244",59.8%,"$23,800"
2078,The Compassion in Between,"$14,214",1.0%,"$1,367,527"
2079,You'll Never Walk Alone,"$14,209",30.9%,"$45,997"
2080,Phoenix Valley,"$14,109",100.3%,"$14,064"
2081,The Fairest Encounter,"$13,817",33.9%,"$40,780"
2082,Artisan Spirit,"$13,266",5.3%,"$251,733"
2083,Thunderstorm,"$13,219",20.1%,"$65,633"
2084,Myth Kill Joke,"$13,211",81.8%,"$16,152"
2085,A Loner,"$12,942",29.2%,"$44,311"
2086,My 10 Million,"$12,796",100.0%,"$12,796"
2087,A Genius Professor,"$12,751",100.0%,"$12,751"
2088,Love and Redemption,"$12,726",100.0%,"$12,726"
2089,Wolf Hunters,"$12,665",84.2%,"$15,044"
2090,The Merger,"$12,466",84.6%,"$14,742"
2091,Two Stupid Men,"$12,432",100.0%,"$12,432"
2092,The First Time (2018),"$12,407",19.7%,"$62,950"
2093,The Unvanished Vapour,"$12,175",87.9%,"$13,854"
2094,When the Meteor Shot Across the Sky,"$11,840",1.5%,"$770,795"
2095,Hometown On The Cloud,"$11,730",9.1%,"$129,045"
2096,Hello Beijing,"$11,709",69.2%,"$16,915"
2097,Flowers in Full Bloom,"$11,688",100.0%,"$11,688"
2098,All the Way Crazy,"$11,412",100.0%,"$11,412"
2099,Triumphantly Join Forces,"$11,403",32.0%,"$35,611"
2100,Three Guys NAO,"$11,335",51.5%,"$21,997"
2101,Wilderness Gas Station,"$11,280",100.0%,"$11,280"
2102,We are Family (2017),"$11,191",100.0%,"$11,191"
2103,Love in the City,"$11,168",61.6%,"$18,126"
2104,Skammerens datter (The Shamer's Daughter),"$11,133",47.2%,"$23,562"
2105,If Thoughts Can Kill,"$11,112",100.0%,"$11,112"
2106,Nirvana (2017),"$11,096",96.0%,"$11,560"
2107,Business On WeChat,"$11,045",9.7%,"$113,615"
2108,Underground Snatch,"$10,890",100.0%,"$10,890"
2109,Sister Brother Forever,"$10,835",53.0%,"$20,449"
2110,Whack,"$10,801",95.9%,"$11,263"
2111,Battle of Ao Lun Prague,"$10,638",87.3%,"$12,185"
2112,Unforgivable Sin,"$10,527",30.3%,"$34,755"
2113,Rural Summer Vacation,"$10,484",35.4%,"$29,637"
2114,Shadow Behind,"$10,474",49.6%,"$21,133"
2115,No. 1 Villa,"$10,466",56.6%,"$18,487"
2116,Prince Orient House,"$10,465",100.0%,"$10,465"
2117,Zun Yi Conference,"$10,389",3.2%,"$329,103"
2118,Happy to Catch a Thief,"$10,384",62.4%,"$16,652"
2119,Blade of the Law,"$10,135",92.3%,"$10,981"
2120,Haimen Depths,"$10,061",22.0%,"$45,804"
2121,The Writing's On The Wall,"$9,991",42.7%,"$23,398"
2122,Zhengzheng's World,"$9,901",27.8%,"$35,630"
2123,Eternal Love (2017),"$9,869",100.0%,"$9,869"
2124,Forbidden Zone,"$9,780",100.0%,"$9,780"
2125,In the Fog,"$9,772",100.0%,"$9,772"
2126,Hero Song,"$9,646",42.1%,"$22,917"
2127,June and Arrow,"$9,637",30.8%,"$31,290"
2128,I am the Procurator,"$9,625",35.4%,"$27,225"
2129,Highway 318,"$9,616",10.3%,"$93,338"
2130,Running Like Wind,"$9,607",39.9%,"$24,077"
2131,Dating Times,"$9,596",62.3%,"$15,410"
2132,A Idiot Lost In Xiangxi,"$9,565",100.0%,"$9,565"
2133,Malan Flower Blooms,"$9,530",18.3%,"$51,996"
2134,Beyond Belief,"$9,502",4.6%,"$208,209"
2135,My Running Shadow (Wo De Yingzi Zai Ben Pao),"$9,416",18.7%,"$50,311"
2136,Love You,"$9,358",88.2%,"$10,608"
2137,Somewhere Connected,"$9,265",48.0%,"$19,291"
2138,24 Seconds,"$9,215",100.0%,"$9,215"
2139,Binding Destiny,"$9,124",33.9%,"$26,941"
2140,Desingle Bible,"$8,940",100.0%,"$8,940"
2141,Fall in Love (2016),"$8,918",99.3%,"$8,977"
2142,Echo of Time,"$8,878",100.0%,"$8,878"
2143,Battle of Hip Hopera,"$8,872",66.3%,"$13,386"
2144,The Red Shield Pioneer,"$8,862",19.1%,"$46,380"
2145,Exceptionally Gifted Girl,"$8,801",79.7%,"$11,039"
2146,Better Angels,"$8,646",25.5%,"$33,862"
2147,Planning of be in Love,"$8,575",29.7%,"$28,855"
2148,The Connection (2018),"$8,311",0.2%,"$3,739,582"
2149,Crazy House,"$8,243",100.0%,"$8,243"
2150,The Young with No Fear,"$8,189",41.9%,"$19,564"
2151,My Circle of Friends,"$8,073",93.4%,"$8,648"
2152,There Will be Ample Time,"$8,006",87.6%,"$9,135"
2153,Lovelorn 399 Years,"$7,914",47.5%,"$16,664"
2154,The Universe Of One's Own,"$7,898",100.0%,"$7,898"
2155,Graduation Journey,"$7,888",29.0%,"$27,171"
2156,Legend Second of Tang Dynasty,"$7,715",14.8%,"$52,260"
2157,Doomed,"$7,688",21.1%,"$36,375"
2158,Wen Chaorong,"$7,661",1.0%,"$797,024"
2159,Grandma's Home,"$7,455",21.2%,"$35,189"
2160,The Secret Board,"$7,432",100.0%,"$7,432"
2161,Doom of Humanity,"$7,327",93.0%,"$7,876"
2162,Anna & Anna,"$7,300",100.0%,"$7,300"
2163,Pot Iron,"$7,253",96.3%,"$7,529"
2164,The Chief Legend,"$7,245",11.8%,"$61,616"
2165,Yellow River Aria,"$7,238",93.1%,"$7,776"
2166,For the Memory Never Forgotten,"$7,150",87.7%,"$8,154"
2167,The Forest Monster,"$7,053",100.0%,"$7,053"
2168,Highway 33,"$7,025",83.6%,"$8,405"
2169,Mr. Made,"$7,022",13.6%,"$51,485"
2170,Mr. Cheongsam,"$7,009",21.6%,"$32,405"
2171,Super Model (2016),"$6,985",55.6%,"$12,561"
2172,Tears of the Yang-Tse (2017 re-release),"$6,962",100.0%,"$6,962"
2173,Seven Days (Dong),"$6,910",21.4%,"$32,308"
2174,Come On Murderer: The Legendary Thief,"$6,910",93.4%,"$7,402"
2175,When Africa Meets You,"$6,899",4.4%,"$157,273"
2176,Live Life,"$6,794",24.3%,"$27,979"
2177,Ballad from Tibet,"$6,653",44.2%,"$15,069"
2178,The Master (2017),"$6,619",52.8%,"$12,536"
2179,Start Over Tonight,"$6,534",79.5%,"$8,224"
2180,Fist With Great Ambition,"$6,534",100.0%,"$6,534"
2181,Deep In My Heart,"$6,525",62.0%,"$10,526"
2182,Grace of Porridge,"$6,432",23.7%,"$27,149"
2183,Portrait of My Mother,"$6,373",38.4%,"$16,610"
2184,The Tianchi Monster,"$6,321",100.0%,"$6,321"
2185,Kill My Brother,"$6,221",12.9%,"$48,389"
2186,Number One,"$6,173",33.0%,"$18,732"
2187,Fantasy Dream Trip,"$6,135",12.5%,"$49,227"
2188,Dance Juvenile,"$6,104",100.0%,"$6,104"
2189,Winter In My Heart,"$5,970",2.8%,"$214,567"
2190,Journey to the Snowing Mountains,"$5,919",52.0%,"$11,386"
2191,Lemonade,"$5,840",100.0%,"$5,840"
2192,Wrong-Way Driving,"$5,839",100.0%,"$5,839"
2193,Silk Road Hero: Khan's Arrow,"$5,815",7.1%,"$81,873"
2194,The Flowers Bloomin,"$5,768",100.0%,"$5,768"
2195,Red Army Primary School,"$5,727",18.7%,"$30,652"
2196,You Were Here In My Youth,"$5,726",100.0%,"$5,726"
2197,My Super Girl,"$5,715",75.3%,"$7,587"
2198,The Family (2018),"$5,482",5.5%,"$99,673"
2199,Traveling Over The Sea,"$5,257",13.6%,"$38,558"
2200,Stolen Fairytales,"$5,197",100.0%,"$5,197"
2201,Last Testimony,"$5,167",100.0%,"$5,167"
2202,Land of Hero,"$5,145",100.0%,"$5,145"
2203,Holding Hands,"$5,110",95.4%,"$5,356"
2204,Come On Teacher,"$5,101",100.0%,"$5,101"
2205,Please Remember Me (2018),"$5,071",44.7%,"$11,350"
2206,Beginning of the Great Revival (Jian dang wei ye) [3D re-release],"$5,062",0.0%,"$54,612,874"
2207,Black and White Photo Studio,"$5,062",100.0%,"$5,062"
2208,The Thief Who Stared at the Thief,"$4,995",100.0%,"$4,995"
2209,Unsymmetric Battle,"$4,992",100.0%,"$4,992"
2210,The Taste of Apple,"$4,990",0.3%,"$1,799,319"
2211,Super Kids'Attack,"$4,979",100.0%,"$4,979"
2212,The Eighth Day of the Week,"$4,927",35.9%,"$13,739"
2213,However,"$4,915",100.0%,"$4,915"
2215,Crazy Teacher,"$4,837",11.9%,"$40,601"
2216,Life and Death in 96 Hours,"$4,698",52.0%,"$9,028"
2217,Lost in Mobius,"$4,598",1.0%,"$447,191"
2218,New Oriental God Doll,"$4,571",14.6%,"$31,326"
2219,Please Love Her,"$4,562",100.0%,"$4,562"
2220,Manipulated,"$4,527",100.0%,"$4,527"
2221,Makino Legend,"$4,483",100.0%,"$4,483"
2222,Patrolman Baoyin,"$4,460",24.5%,"$18,216"
2223,Doggy Man,"$4,449",100.0%,"$4,449"
2224,The Dream,"$4,405",85.1%,"$5,178"
2225,Happiness of Shunde Family,"$4,333",34.7%,"$12,488"
2226,Go Sister,"$4,302",37.9%,"$11,347"
2227,Curse of the Demon,"$4,292",100.0%,"$4,292"
2228,Dr. Huang Danian,"$4,271",0.9%,"$480,201"
2229,Excellent Doctor From Hejian,"$4,191",73.1%,"$5,737"
2230,The Cage of Time,"$4,116",77.9%,"$5,281"
2231,Daughter of Shanghai,"$4,076",15.9%,"$25,618"
2232,Dawning,"$4,039",24.5%,"$16,504"
2233,Hi Jack,"$3,996",100.0%,"$3,996"
2234,Please Remember Me,"$3,969",8.5%,"$46,805"
2235,Pet Departures,"$3,967",33.2%,"$11,958"
2236,When Ge Sanghua Opened,"$3,945",27.2%,"$14,496"
2237,Peak Warrior,"$3,835",100.0%,"$3,835"
2238,Rescripts Bout Peony Fairy,"$3,807",69.2%,"$5,501"
2239,Forgiveness (2017),"$3,805",100.0%,"$3,805"
2240,I Want To Be With You,"$3,769",75.6%,"$4,984"
2241,Hulunbuir City,"$3,763",72.2%,"$5,214"
2242,Brother Pig is Coming,"$3,713",101.3%,"$3,665"
2243,Blue Amber,"$3,692",14.7%,"$25,049"
2244,Sky Stream,"$3,678",0.1%,"$2,789,574"
2245,The Song of the Angels,"$3,670",100.0%,"$3,670"
2246,Mind Decoding,"$3,567",77.3%,"$4,616"
2247,Left Hand and Right Hand,"$3,346",100.0%,"$3,346"
2248,Capriccio of Tracking Down the Treasure,"$3,257",100.0%,"$3,257"
2249,Inferior Student Qiao Xi,"$3,230",3.7%,"$87,578"
2250,Turn Around,"$3,162",56.7%,"$5,579"
2251,Undying Youth,"$3,151",100.0%,"$3,151"
2252,Shang Hun,"$3,141",5.6%,"$55,966"
2253,Everyday Hero,"$3,066",4.2%,"$73,772"
2254,Joy of Second Child,"$2,872",5.8%,"$49,906"
2255,The Star on Wuling Mountain,"$2,862",1.0%,"$291,100"
2256,Dream of Youth,"$2,861",98.5%,"$2,904"
2257,The Big Dipper,"$2,759",100.0%,"$2,759"
2258,A Man Who Is Obsessed With Donkey,"$2,754",100.0%,"$2,754"
2259,The Promise I Made to You,"$2,690",9.4%,"$28,713"
2260,Keep Watch the Lifetime,"$2,577",17.4%,"$14,853"
2261,Love of Hope,"$2,553",4.5%,"$57,229"
2262,Pear Blossom,"$2,508",100.0%,"$2,508"
2263,Champa Flower,"$2,317",65.4%,"$3,541"
2264,Nora,"$2,198",100.0%,"$2,198"
2265,Fade Away Pastoral,"$2,184",0.2%,"$1,307,365"
2266,The Wind Comes Up From the Plateau,"$1,804",100.0%,"$1,804"
